Date,Product_Name,Category,Cost_Price,Selling_Price,Inventory_Start,Restock_Received,Units_Sold,Inventory_End,Is_Promotion_Active
2025-07-01,Water Bottles,Beverages,0.85,1.00,45,40,70,15,TRUE
2025-07-01,Soft Drinks,Beverages,0.90,1.25,60,0,35,25,TRUE
2025-07-01,Energy Drinks,Beverages,1.50,2.50,30,20,15,35,FALSE
2025-07-01,Cheap Chocolates,Snacks,0.40,1.00,100,0,12,88,FALSE
2025-07-01,Gums,Snacks,0.30,1.25,150,0,8,142,FALSE
2025-07-01,Dog Treats,Snacks,2.00,4.50,25,10,5,30,FALSE
2025-07-01,Garbage Bags,Household,3.00,5.50,40,0,6,34,FALSE
2025-07-01,Sponges,Household,0.50,1.50,50,0,10,40,FALSE
2025-07-01,Aluminum Foil,Household,1.80,3.00,35,0,4,31,FALSE
2025-07-01,Napkins,Household,1.00,2.00,60,0,15,45,TRUE
2025-07-01,Disposable Plates,Household,1.50,3.00,55,20,30,45,TRUE
2025-07-01,Cleaning Spray,Household,2.00,4.00,20,12,8,24,FALSE
2025-07-01,Pens,Stationery,0.50,2.00,100,0,5,95,FALSE
2025-07-01,Notebooks,Stationery,1.00,3.00,40,0,3,37,FALSE
2025-07-01,Pads,Stationery,0.80,2.50,50,0,2,48,FALSE
2025-07-01,Superglue,Stationery,0.40,1.50,30,0,1,29,FALSE
2025-07-01,AA Batteries,Stationery,1.50,4.99,80,0,6,74,FALSE
2025-07-01,Hand Soap,Personal,1.20,2.50,25,15,10,30,FALSE
2025-07-01,Canned Tuna,Pantry,0.90,1.50,60,0,12,48,FALSE
2025-07-01,Seasonal Decor,Seasonal,2.50,5.00,30,40,55,15,TRUE
2025-07-02,Water Bottles,Beverages,0.85,1.00,15,0,15,0,TRUE
2025-07-02,Soft Drinks,Beverages,0.90,1.25,25,48,40,33,TRUE
2025-07-02,Energy Drinks,Beverages,1.50,2.50,35,0,18,17,FALSE
2025-07-02,Cheap Chocolates,Snacks,0.40,1.00,88,50,15,123,FALSE
2025-07-02,Gums,Snacks,0.30,1.25,142,0,10,132,FALSE
2025-07-02,Dog Treats,Snacks,2.00,4.50,30,0,4,26,FALSE
2025-07-02,Garbage Bags,Household,3.00,5.50,34,20,5,49,FALSE
2025-07-02,Sponges,Household,0.50,1.50,40,0,5,35,FALSE
2025-07-02,Aluminum Foil,Household,1.80,3.00,31,0,3,28,FALSE
2025-07-02,Napkins,Household,1.00,2.00,45,24,20,49,TRUE
2025-07-02,Disposable Plates,Household,1.50,3.00,45,0,25,20,TRUE
2025-07-02,Cleaning Spray,Household,2.00,4.00,24,0,5,19,FALSE
2025-07-02,Pens,Stationery,0.50,2.00,95,0,4,91,FALSE
2025-07-02,Notebooks,Stationery,1.00,3.00,37,0,2,35,FALSE
